Service_Type,Sample_ID,Sample_Type,Sample_Description,Analysis Requested,Location,Transect,Distance_m,Type,Direction,Residue,PUF_ngm3,Filter_ngcm2
Standard,7/03 IN S4,Filter Paper,In-swath (South 4),"2,4-D",Southwest,"Transect 1 (SW, downwind)",0,few,Downwind,913000,,5169.875
Standard,7/03 T1.1,Filter Paper,"Transect 1, Row 1","2,4-D",Southwest,"Transect 1 (SW, downwind)",0.761962816,multiple,Downwind,172000,,973.952
Standard,7/03 T1.2,Filter Paper,"Transect 1, Row 2","2,4-D",Southwest,"Transect 1 (SW, downwind)",1.523925632,multiple,Downwind,2040,,11.552
Standard,7/03 T1.4,Filter Paper,"Transect 1, Row 4","2,4-D",Southwest,"Transect 1 (SW, downwind)",3.047851265,multiple,Downwind,980,,5.549
Standard,7/03 T1.8,Filter Paper,"Transect 1, Row 8","2,4-D",Southwest,"Transect 1 (SW, downwind)",6.09570253,multiple,Downwind,254,,1.438
Standard,7/03 T1.16,Filter Paper,"Transect 1, Row 16","2,4-D",Southwest,"Transect 1 (SW, downwind)",12.19140506,multiple,Downwind,139,,0.787
Standard,7/03 T1.32,Filter Paper,"Transect 1, Row 32","2,4-D",Southwest,"Transect 1 (SW, downwind)",24.38281012,multiple,Downwind,44.7,,0.253
Standard,7/03 IN S5,Filter Paper,In-swath (South 5),"2,4-D",Southcentral,"Transect 2 (S, downwind)",0,few,Downwind,1230000,,6964.892
Standard,7/03 T2.1,Filter Paper,"Transect 2, Row 1","2,4-D",Southcentral,"Transect 2 (S, downwind)",0.761962816,multiple,Downwind,84500,,478.482
Standard,7/03 T2.2,Filter Paper,"Transect 2, Row 2","2,4-D",Southcentral,"Transect 2 (S, downwind)",1.523925632,multiple,Downwind,4840,,27.407
Standard,7/03 T2.4,Filter Paper,"Transect 2, Row 4","2,4-D",Southcentral,"Transect 2 (S, downwind)",3.047851265,multiple,Downwind,2140,,12.118
Standard,7/03 T2.8,Filter Paper,"Transect 2, Row 8","2,4-D",Southcentral,"Transect 2 (S, downwind)",6.09570253,multiple,Downwind,166,,0.94
Standard,7/03 T2.16,Filter Paper,"Transect 2, Row 16","2,4-D",Southcentral,"Transect 2 (S, downwind)",12.19140506,multiple,Downwind,102,,0.578
Standard,7/03 T2.32,Filter Paper,"Transect 2, Row 32","2,4-D",Southcentral,"Transect 2 (S, downwind)",24.38281012,multiple,Downwind,55.5,,0.314
Standard,7/03 IN S3,Filter Paper,In-swath (South 3),"2,4-D",Southeast,"Transect 3 (SE, downwind)",0,few,Downwind,920000,,5209.513
Standard,7/03 T3.1,Filter Paper,"Transect 3, Row 1","2,4-D",Southeast,"Transect 3 (SE, downwind)",0.761962816,multiple,Downwind,55600,,314.836
Standard,7/03 T3.2,Filter Paper,"Transect 3, Row 2","2,4-D",Southeast,"Transect 3 (SE, downwind)",1.523925632,multiple,Downwind,2470,,13.986
Standard,7/03 T3.4,Filter Paper,"Transect 3, Row 4","2,4-D",Southeast,"Transect 3 (SE, downwind)",3.047851265,multiple,Downwind,1420,,8.041
